transaction_id,sender_account,receiver_account,amount,transaction_type,merchant_category,location,device_used,is_fraud,spending_deviation_score,velocity_score,geo_anomaly_score,payment_channel,ip_address,device_hash,month_year,risk_level,hour,time_segment,last_15_mins,last_15_mins_non_fraud
T4983224,ACC259476,ACC189392,12.25,transfer,grocery,Dubai,atm,0,-0.32,2,0.96,UPI,89.75.248.198,D9764559,2023-01,Low risk,0,Morning,0.0,1.0
T114745,ACC478421,ACC105006,1347.27,deposit,travel,Sydney,mobile,0,-0.68,5,0.67,UPI,108.75.191.104,D2292342,2023-01,Low risk,0,Morning,0.0,2.0
T3001064,ACC830612,ACC593266,20.79,payment,travel,Tokyo,web,0,0.14,8,0.42,wire_transfer,215.139.243.78,D9777735,2023-01,Medium risk,0,Morning,0.0,3.0
T648800,ACC647991,ACC371308,740.73,deposit,utilities,Berlin,mobile,0,-2.09,20,0.86,UPI,126.146.190.250,D4372592,2023-01,High risk,0,Morning,0.0,4.0
T3517687,ACC984405,ACC167110,228.67,deposit,grocery,Dubai,mobile,0,0.16,18,0.82,UPI,131.27.227.151,D3545707,2023-01,High risk,0,Morning,0.0,5.0
T3078403,ACC995556,ACC385806,1647.18,deposit,retail,New York,atm,0,1.01,20,0.43,wire_transfer,171.178.81.1,D5966707,2023-01,High risk,0,Morning,0.0,4.0
T386696,ACC618264,ACC130232,10.26,transfer,utilities,Toronto,pos,0,-0.19,3,0.28,UPI,243.87.82.205,D8021847,2023-01,Low risk,0,Morning,0.0,4.0
T1830234,ACC654646,ACC778749,1626.52,deposit,grocery,Berlin,atm,0,-0.63,17,0.93,card,114.0.201.75,D6084741,2023-01,High risk,0,Morning,0.0,5.0
T4151849,ACC287060,ACC736258,2107.2,deposit,retail,Berlin,web,0,-0.03,18,0.92,ACH,255.104.28.130,D5689649,2023-01,High risk,0,Morning,0.0,6.0
T843963,ACC555732,ACC480430,6.65,payment,online,Tokyo,mobile,0,-0.25,10,0.76,ACH,60.7.76.221,D5148006,2023-01,Medium risk,0,Morning,0.0,6.0
T119090,ACC833687,ACC256012,18.1,transfer,restaurant,Berlin,mobile,0,1.68,1,0.66,card,160.51.3.47,D1393105,2023-01,Low risk,0,Morning,0.0,5.0
T1550688,ACC749567,ACC824066,152.21,payment,travel,Sydney,mobile,0,-1.44,1,0.26,ACH,171.29.61.169,D7129426,2023-01,Low risk,0,Morning,0.0,6.0
T2574757,ACC392660,ACC860246,47.9,payment,travel,Toronto,atm,0,-1.42,1,0.02,ACH,144.158.26.124,D3273879,2023-01,Low risk,0,Morning,0.0,6.0
T3963127,ACC273519,ACC788450,553.38,withdrawal,entertainment,Tokyo,pos,0,-0.06,19,0.84,UPI,235.91.168.134,D6453763,2023-01,High risk,0,Morning,0.0,4.0
T783557,ACC394083,ACC911206,192.05,withdrawal,restaurant,Toronto,mobile,0,-0.09,13,0.39,UPI,205.212.175.183,D2031318,2023-01,Medium risk,0,Morning,0.0,5.0
T761684,ACC739191,ACC768452,923.16,deposit,utilities,Tokyo,atm,0,0.75,17,0.97,ACH,178.203.20.161,D6185224,2023-01,High risk,0,Morning,0.0,6.0
T104949,ACC747254,ACC133262,436.74,withdrawal,other,Tokyo,web,0,-1.91,15,0.16,wire_transfer,76.155.114.27,D6907243,2023-01,High risk,0,Morning,0.0,7.0
T1286554,ACC293176,ACC225013,281.2,payment,travel,London,web,0,-1.42,4,0.49,UPI,8.195.162.63,D7679019,2023-01,Low risk,0,Morning,0.0,8.0
T2213018,ACC791794,ACC817558,36.09,transfer,online,Dubai,mobile,0,0.48,6,0.59,wire_transfer,231.171.168.1,D2055396,2023-01,Low risk,0,Morning,0.0,9.0
T4680817,ACC245147,ACC816325,137.71,withdrawal,grocery,Dubai,web,0,-0.52,4,0.38,wire_transfer,234.46.14.147,D8392276,2023-01,Low risk,0,Morning,0.0,8.0
T1982240,ACC176442,ACC177462,4.06,transfer,utilities,New York,pos,0,0.92,2,0.03,UPI,119.139.174.237,D8163572,2023-01,Low risk,1,Morning,0.0,8.0
T3817781,ACC832092,ACC891737,1709.85,deposit,other,Toronto,pos,0,-0.82,2,0.3,UPI,253.30.210.0,D5988537,2023-01,Low risk,1,Morning,0.0,9.0
T3389160,ACC651035,ACC283259,315.46,payment,online,Dubai,atm,0,0.79,4,0.16,ACH,126.141.100.21,D9683044,2023-01,Low risk,1,Morning,0.0,10.0
T2295487,ACC606537,ACC967659,20.45,payment,travel,New York,pos,0,0.77,6,0.65,card,51.146.171.226,D5835904,2023-01,Low risk,1,Morning,0.0,11.0
T1082319,ACC892072,ACC825314,90.51,payment,utilities,Berlin,web,0,1.42,8,0.87,ACH,93.22.165.83,D2790831,2023-01,Medium risk,1,Morning,0.0,12.0
T2898177,ACC503314,ACC702516,1262.39,deposit,grocery,Sydney,atm,0,-0.73,5,0.53,ACH,236.254.182.17,D2960162,2023-01,Low risk,1,Morning,0.0,12.0
T4607613,ACC207083,ACC676104,76.54,payment,other,Berlin,web,0,-1.04,12,0.52,card,234.189.221.211,D2859608,2023-01,Medium risk,1,Morning,0.0,11.0
T678163,ACC384383,ACC642206,140.63,payment,travel,Sydney,pos,0,-1.25,19,0.46,card,163.173.45.207,D8932626,2023-01,High risk,1,Morning,0.0,9.0
T3362130,ACC369174,ACC601337,16.63,transfer,other,Tokyo,web,0,-0.65,6,0.37,wire_transfer,72.53.1.12,D9224514,2023-01,Low risk,1,Morning,0.0,9.0
T3661681,ACC660603,ACC440822,347.56,withdrawal,entertainment,Dubai,web,0,-0.65,17,0.16,ACH,228.182.73.27,D4796128,2023-01,High risk,1,Morning,0.0,10.0
T2827321,ACC398404,ACC914452,37.84,transfer,utilities,Dubai,web,0,1.24,13,0.04,UPI,127.82.79.34,D5892662,2023-01,Medium risk,1,Morning,0.0,11.0
T4270834,ACC333401,ACC338497,382.21,withdrawal,online,Singapore,atm,0,-0.39,3,0.77,card,166.109.149.39,D7038010,2023-01,Low risk,1,Morning,0.0,12.0
T5075053,ACC292296,ACC126973,25.1,transfer,entertainment,Sydney,pos,0,-2.27,8,0.26,wire_transfer,2.49.92.47,D9654125,2023-01,Medium risk,1,Morning,0.0,12.0
T286643,ACC933725,ACC516792,38.72,transfer,other,Dubai,mobile,0,-0.6,14,0.84,wire_transfer,8.13.81.186,D2391804,2023-01,Medium risk,1,Morning,0.0,12.0
T1440310,ACC823842,ACC603034,18.96,transfer,restaurant,Berlin,pos,0,-0.6,10,0.07,ACH,53.150.51.150,D8178543,2023-01,Medium risk,1,Morning,0.0,13.0
T2859564,ACC428527,ACC876527,46.78,payment,other,New York,pos,0,1.15,2,0.58,wire_transfer,116.11.32.5,D5818494,2023-01,Low risk,1,Morning,0.0,12.0
T3487117,ACC270684,ACC191411,60.55,transfer,restaurant,Singapore,pos,0,-1.23,5,0.11,UPI,48.94.136.216,D2993558,2023-01,Low risk,1,Morning,0.0,13.0
T3955223,ACC677399,ACC637825,398.06,withdrawal,online,Singapore,web,0,0.19,18,0.42,ACH,27.196.251.184,D1272548,2023-01,High risk,1,Morning,0.0,14.0
T3961073,ACC552315,ACC325512,139.75,payment,online,Dubai,mobile,0,-0.91,9,0.3,wire_transfer,224.214.207.251,D9036190,2023-01,Medium risk,1,Morning,0.0,15.0
T412520,ACC387447,ACC288531,1336.19,deposit,restaurant,New York,pos,0,0.98,3,0.55,UPI,231.110.183.120,D7122532,2023-01,Low risk,1,Morning,0.0,15.0
T1673460,ACC312473,ACC824391,161.19,payment,entertainment,London,mobile,0,-0.43,1,0.51,card,188.95.245.181,D8024621,2023-01,Low risk,1,Morning,0.0,16.0
T4384860,ACC830936,ACC647845,22.86,payment,retail,Dubai,web,0,1.4,2,0.54,wire_transfer,61.116.156.163,D4616637,2023-01,Low risk,1,Morning,0.0,17.0
T4950032,ACC151355,ACC181840,124.43,payment,utilities,Singapore,atm,0,2.08,1,0.24,card,91.250.170.207,D2952155,2023-01,Low risk,1,Morning,0.0,17.0
T4981112,ACC851394,ACC440122,30.59,payment,utilities,New York,web,0,0.35,4,0.15,UPI,67.123.41.212,D9739274,2023-01,Low risk,1,Morning,0.0,17.0
T3805713,ACC751076,ACC406344,681.71,withdrawal,retail,Berlin,web,0,2.06,1,0.61,card,64.65.24.143,D8016842,2023-01,Low risk,1,Morning,0.0,18.0
